Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Abomasnow;['Grass', 'Ice'];['Snow Warning', 'Soundproof'];UU;90;92;75;92;85;60;[]
Abra;['Psychic'];['Inner Focus', 'Magic Guard', 'Synchronize'];LC;25;20;15;105;55;90;['Kadabra']
Absol;['Dark'];['Justified', 'Pressure', 'Super Luck'];RU;65;130;60;75;60;75;[]
Accelgor;['Bug'];['Hydration', 'Sticky Hold', 'Unburden'];RU;80;70;40;100;60;145;[]
Aerodactyl;['Rock', 'Flying'];['Pressure', 'Rock Head', 'Unnerve'];RU;80;105;65;60;75;130;[]
Aggron;['Steel', 'Rock'];['Heavy Metal', 'Rock Head', 'Sturdy'];RU;70;110;180;60;60;50;[]
Aipom;['Normal'];['Pickup', 'Run Away', 'Skill Link'];LC;55;70;55;40;55;85;['Ambipom']
Alakazam;['Psychic'];['Inner Focus', 'Magic Guard', 'Synchronize'];OU;55;50;45;135;85;120;[]
Alomomola;['Water'];['Healer', 'Hydration', 'Regenerator'];NU;165;75;80;40;45;65;[]
Altaria;['Dragon', 'Flying'];['Cloud Nine', 'Natural Cure'];NU;75;70;90;70;105;80;[]
Ambipom;['Normal'];['Pickup', 'Skill Link', 'Technician'];UU;75;100;66;60;66;115;[]
Amoonguss;['Grass', 'Poison'];['Effect Spore', 'Regenerator'];RU;114;85;70;85;80;30;[]
Ampharos;['Electric'];['Plus', 'Static'];NU;90;75;75;115;90;55;[]
Anorith;['Rock', 'Bug'];['Battle Armor', 'Swift Swim'];LC;45;95;50;40;50;75;['Armaldo']
Arbok;['Poison'];['Intimidate', 'Shed Skin', 'Unnerve'];NU;60;85;69;65;79;80;[]
Arcanine;['Fire'];['Flash Fire', 'Intimidate', 'Justified'];UU;90;110;80;100;80;95;[]
Arceus;['Normal'];['Multitype'];Uber;120;120;120;120;120;120;[]
Archen;['Rock', 'Flying'];['Defeatist'];LC;55;112;45;74;45;70;['Archeops']
Archeops;['Rock', 'Flying'];['Defeatist'];RU;75;140;65;112;65;110;[]
Ariados;['Bug', 'Poison'];['Insomnia', 'Sniper', 'Swarm'];NU;70;90;70;60;60;40;[]
Armaldo;['Rock', 'Bug'];['Battle Armor', 'Swift Swim'];NU;75;125;100;70;80;45;[]
Aron;['Steel', 'Rock'];['Heavy Metal', 'Rock Head', 'Sturdy'];LC;50;70;100;40;40;30;['Lairon']
Articuno;['Ice', 'Flying'];['Pressure'];NU;90;85;100;95;125;85;[]
Audino;['Normal'];['Healer', 'Klutz', 'Regenerator'];NU;103;60;86;60;86;50;[]
Axew;['Dragon'];['Mold Breaker', 'Rivalry', 'Unnerve'];LC;46;87;60;30;40;57;['Fraxure']
Azelf;['Psychic'];['Levitate'];UU;75;125;70;125;70;115;[]
Azumarill;['Water'];['Huge Power', 'Sap Sipper', 'Thick Fat'];UU;100;50;80;50;80;50;[]
Azurill;['Normal'];['Huge Power', 'Sap Sipper', 'Thick Fat'];LC;50;20;40;20;40;20;['Marill']
Bagon;['Dragon'];['Rock Head', 'Sheer Force'];LC;45;75;60;40;30;50;['Shelgon']
Baltoy;['Ground', 'Psychic'];['Levitate'];LC;40;40;55;40;70;55;['Claydol']
Banette;['Ghost'];['Cursed Body', 'Frisk', 'Insomnia'];NU;64;115;65;83;63;65;[]
Barboach;['Water', 'Ground'];['Anticipation', 'Hydration', 'Oblivious'];LC;50;48;43;46;41;60;['Whiscash']
Basculin;['Water'];['Adaptability', 'Mold Breaker', 'Reckless', 'Rock Head'];NU;70;92;65;80;55;98;[]
Bastiodon;['Rock', 'Steel'];['Soundproof', 'Sturdy'];NU;60;52;168;47;138;30;[]
Bayleef;['Grass'];['Overgrow'];;60;62;80;63;80;60;['Meganium']
